 1381290379 522375
9 1381290388 198413
10 1381290392 205093
11 1381290402 238809
12 1381290419 279362
13 1381290422 287700
14 1381290439 359316
15 1381290442 372210
16 1381290459 416470
17 1381290463 429207
18 1381290480 484880
19 1381290484 506160
20 1381290501 537518
21 1381290511 570242
22 1381290515 582447
23 1381290535 643817
24 1381290539 667185
25 1381290558 730318
26 1381290562 746017
27 1381290581 810099
28 1381290586 825134
29 1381290603 889690
30 1381290606 907455
31 1381290623 985926
32 1381290635 31339
33 1381290638 39882
34 1381290654 102911
35 1381290658 113614
36 1381290674 168460
37 1381290684 206045
38 1381290688 218612
39 1381290704 269991
40 1381290708 281923
41 1381290724 342847
42 1381290728 356874
43 1381290745 417898
44 1381290755 430529
45 1381290759 445079
46 1381290775 476423
47 1381290779 491242
48 1381290793 536032
49 1381290803 562274
50 1381290817 613747
51 1381290821 634441
52 1381290837 695693
53 1381290841 715643
54 1381290858 793932
55 1381290868 829246
56 1381290878 856863
57 1381290888 895544
58 1381290895 921342
59 1381290909 962347
60 1381290913 975609
61 1381290931 30828
62 1381290941 56163
63 1381290951 84645
64 1381290962 118568
65 1381290966 127480
66 1381290982 177650
67 1381290992 210319
68 1381291003 250339
69 1381291013 274232
70 1381291024 316994
71 1381291034 348126
72 1381291038 362070
73 1381291055 415472
74 1381291065 444190
75 1381291076 483169
76 1381291087 522746
77 1381291097 560455
78 1381291108 597747
79 1381291112 614834
80 1381291129 662709
81 1381291140 700455
82 1381291150 746473
83 1381291155 767456
84 1381291172 802277
85 1381291183 843103
86 1381291193 876462
87 1381291204 920788
88 1381291208 934972
89 1381291227 941
90 1381291231 10599
91 1381291248 73342
92 1381291259 120413
93 1381291269 161884
94 1381291280 209831
95 1381291290 241749
96 1381291301 286988
97 1381291312 311038
98 1381291322 356035
99 1381291333 386337
100 1381291344 415737
101 1381291354 450701
102 1381291364 478355
103 1381291374 522842
104 1381291385 560140
105 1381291396 591392
106 1381291407 632634
107 1381291418 669506
108 1381291429 727840
109 1381291440 765055
110 1381291451 792848
111 1381291462 833678
112 1381291472 856359
113 1381291483 901691
114 1381291495 940636
115 1381291505 981475
116 1381291513 18927
117 1381291527 69935
